No.,Financier,Project country,Project name,Unit,Types,Capacity (MW),Status,Boiler Type,Known co-financier,Recipeint Domestic Company,Recipeint Foreign Company,Loan,Underwriting,Bond Insurance,Shareholdings,Unidentified Investment,Total Investment of whole projects,Information disclosed,Reference,Remarks,,,Consolidated,,Financed Project,Total
74,,Spain,Soto de Ribera,,coal,360,Operating,,,MHPS,,,,,,,0,"November 10, 2014",http://www.mhps.com/news/20141110.html,SCR,,,,,,
75,,Spain,Soto ,Unit 3,coal,350,Operating,,,Hitachi,,36.436,,,,,36.436,"April 1, 2005",http://www.hitachi.co.jp/New/cnews/month/2005/04/0401b.html,FGD,,,,,,
76,,Taiwan,Dalin ,Unit 1-2,coal,"1,600",shelved,USC,,"Sumitomo Corp, Toshiba, IHI",,,,,,,0,"May 21, 2012","http://www.sumitomocorp.co.jp/news/detail/id=25612
http://www.sourcewatch.org/index.php/Talin_power_station",EPC,,,,,,
77,,Taiwan,Linkou,,coal,"2,400",shelved,SC,,MHI,,,,,,,0,"September 1, 2011","https://www.mhi.co.jp/news/story/1109015101.html
http://www.sourcewatch.org/index.php/Linkou_power_station","EPC/Boiler, Turbine",,,,,,
78,,Taiwan,Taichung ,Unit 1-4,coal,,Operating,,,"MHPS, Mistubishi Corp",,,,,,,0,"June 14, 2016","http://www.mhps.com/news/20160614.html
http://www.mitsubishicorp.com/jp/ja/pr/archive/2016/html/0000030380.html","Boiler, FGD",,,,,,
79,JBIC,Thailand,BLCP (Map Ta Phut),Unit 1-3,coal,"1,434",,SUB,,,,408.5,,,,,408.5,"March 30, 2004",http://nexi.go.jp/topics/newsrelease/001344.html,,,,,,,
79,NEXI,Thailand,BLCP (Map Ta Phut),Unit 1-3,coal,"1,434",,SUB,,,,,163,,,,163,"March 30, 2004",http://nexi.go.jp/topics/newsrelease/001344.html,,,,,,,
80,,Thailand,Mae Moh ,Unit 4-7,coal,600,shelved,USC,,Marubeni,,991.56,,,,,991.56,"March 10, 2015",http://www.marubeni.co.jp/news/2015/release/00010.html,EPC,,,,,,
81,JBIC,Thailand,Map Ta Phut BLCP,,coal,"1,434",Operating,SUB,,"Mitsubishi Corp, MHI",,,,,,,0,"July 1, 2003",https://www.mhi.co.jp/power/news/sec1/2007_mar_03.html,EPC,,,,,,
82,,Turkey,Tufanbeyli,,coal,450,construction,CFB,,Itochu,,1003.12,,,,,1003.12,"May 17, 2011","http://www.itochu.co.jp/ja/news/2011/110517.html
http://www.sourcewatch.org/index.php/Tufanbeyli_power_station",EPC,,,,,,
83,,US,AMP,Unit 1-2,coal,,Operating,SC,,Hitachi,,,,,,,0,"July 14, 2009",http://www.hitachi.co.jp/New/cnews/month/2009/07/0714.html,"Boiler, Turbine, Generator",,,,,,
84,,US,Birchwood Power,,coal,240,Operating,,,J-Power,,,,,,,0,"May 9, 2008",http://www.jpower.co.jp/news_release/news080509-1.html,Investment,,,,,,
85,,US,Craig,,coal,428,Operating,,,Hitachi,,,,,,,0,"January 24, 2014",http://www.hitachi.co.jp/New/cnews/month/2014/01/0124a.html,SCR,,,,,,
86,,US,Hayden,,coal,446,Operating,,,Hitachi,,,,,,,0,"February 12, 2013",http://www.hitachi.co.jp/New/cnews/month/2013/02/0212.html,SCR,,,,,,
87,,US,Holcombe,,coal,"1,000",Operating,SC,,Toshiba,,,,,,,0,"January 19, 2012",http://www.toshiba.co.jp/about/press/2012_01/pr_j1901.htm,"Turbine, Generator",,,,,,
88,,US,Jeffrey Energy Center ,Unit 1,coal,800,Operating,,,Hitachi,,,,,,,0,"September 8, 2011",http://www.hitachi.co.jp/New/cnews/month/2011/09/0908a.html,SCR,,,,,,
89,,US,La Cygne,Unit 1-2,coal,"1,530",Operating,,,Hitachi,,,,,,,0,"December 13, 2011","http://www.hitachi.co.jp/New/cnews/month/2011/12/1213.html
http://www.sourcewatch.org/index.php/La_Cygne_Generating_Station","FGD, SCR, etc",,,,,,
90,,US,Ottumwa,,coal,800,Operating,,,Toshiba,,,,,,,0,"August 9, 2012","http://www.toshiba.co.jp/about/press/2012_08/pr_j0903.htm
http://www.sourcewatch.org/index.php/Ottumwa_Generating_Station",Equipment,,,,,,
91,,US,Rodemacher ,Unit 3,coal,660,Operating,,,Hitachi,,43,,,,,43,"April 26, 2006",http://www.hitachi.co.jp/New/cnews/month/2006/04/0426.html,"Turbine, Generator",,,,,,
92,JICA,Vietnam,Bac Lieu (Cai Cung),Unit 1-2,coal,"1,200",,USC,,,,,,,,,0,,http://www.jica.go.jp/english/our_work/social_environmental/id/asia/southeast/category_a_b_fi.html,,,,,,,
93,JBIC,Vietnam,Binh Thuan 4,Unit 1-2,coal,1200,,SC,,,,202,,,,,202,"July 17, 2014","https://www.jbic.go.jp/ja/information/press/press-2014/0717-25265
http://nexi.go.jp/topics/newsrelease/005367.html",,,,,,,
93,NEXI,Vietnam,Binh Thuan 4,Unit 1-2,coal,1200,,SC,,,,,135,,,,135,"July 17, 2014","https://www.jbic.go.jp/ja/information/press/press-2014/0717-25265
http://nexi.go.jp/topics/newsrelease/005367.html",,,,,,,
93,JBIC,Vietnam,Binh Thuan 4 ,Unit 1-2,coal,"1,200",construction,SC,,"Mitsubishi Corp, Toshiba",,,,,,,0,"December 24, 2013","http://www.mitsubishicorp.com/jp/ja/pr/archive/2013/html/0000023241.html
http://www.toshiba.co.jp/about/press/2014_07/pr_j1701.htm
http://www.sourcewatch.org/index.php/Vinh_Tan_power_station",EPC/Turbine,,,,,,
93,NEXI Consideration,Vietnam,Binh Thuan 4 ,Unit 3,coal,600,construction,SC,,"Mitsubishi Corp, Toshiba",,,,,,,0,"March 11, 2016","http://www.mitsubishicorp.com/jp/ja/pr/archive/2016/html/0000029767.html
http://www.toshiba.co.jp/about/press/2016_05/pr_j2601.htm
http://www.sourcewatch.org/index.php/Vinh_Tan_power_station","EPC/Boiler, Turbine, Generator",,,,,,
93,JBIC,Vietnam,Binh Thuan 4,Unit 3,coal,600,construction,SC,,"Mitsubishi Corp, Toshiba",,,,,,,0,"March 11, 2016","http://www.mitsubishicorp.com/jp/ja/pr/archive/2016/html/0000029767.html
http://www.toshiba.co.jp/about/press/2016_05/pr_j2601.htm
http://www.sourcewatch.org/index.php/Vinh_Tan_power_station","EPC/Boiler, Turbine, Generator",,,,,,
94,JBIC,Vietnam,Duyen Hai 3,Unit 4,coal,688,,SC,,,,409,,,,,409,"March 31, 2015","https://www.jbic.go.jp/ja/information/press/press-2014/0331-36314
http://nexi.go.jp/topics/newsrelease/005737.html",,,,,,,
94,NEXI,Vietnam,Duyen Hai 3,Unit 4,coal,688,,SC,,,,,273,,,,273,"March 31, 2015","https://www.jbic.go.jp/ja/information/press/press-2014/0331-36314
http://nexi.go.jp/topics/newsrelease/005737.html",,,,,,,
94,JBIC,Vietnam,Duyen Hai 3 ,Expansion,coal,688,construction,SC,,"Sumitomo Corp, Toshiba, MES",,757.84,,,,,757.84,"November 26, 2014","http://www.sumitomocorp.co.jp/news/detail/id=28132
http://www.sourcewatch.org/index.php/Duyen_Hai_Power_Generation_Complex",EPC,,,,,,
95,JBIC,Vietnam,Hai Phong,,coal,600,Operating,SUB,,Marubeni,,455.45,,,,,455.45,"July 20, 2005",http://www.marubeni.co.jp/dbps_data/news/2005/050720.html,EPC,,,,,,
95,JBIC,Vietnam,Hai Phong I,Unit 3-4,coal,600,,SUB,,,,62.4,,,,,62.4,"November 15, 2005",http://nexi.go.jp/topics/newsrelease/001404.html,,,,,,,
95,NEXI,Vietnam,Hai Phong I,Unit 3-4,coal,600,,SUB,,,,,26,,,,26,"November 15, 2005",http://nexi.go.jp/topics/newsrelease/001404.html,,,,,,,
96,JICA,Vietnam,Hai Phong 2,,coal,600,Operating,SUB,,"Marubeni, Fuji Electric",,464.4,,,,,464.4,"November 16, 2006","http://www.marubeni.co.jp/dbps_data/news/2006/061116c.html
http://www.sourcewatch.org/index.php/Rodemacher_Power_Station
https://www.jbic.go.jp/ja/information/press/press-2006/0329-6383",EPC,,,,,,
96,"JICA, Mizuho",Vietnam,Hai Phong 2,,coal,600,Operating,SUB,,"Marubeni, Fuji Electric",,464.4,,,,,464.4,"November 16, 2006","https://www.jbic.go.jp/ja/information/press/press-2006/0329-6383
http://nexi.go.jp/topics/newsrelease/001428.html",EPC,,,,,,
96,JBIC,Vietnam,Hai Phong II,Unit 1-2,coal,600,,SUB,,,,38,,,,,38,"March 29, 2007","https://www.jbic.go.jp/ja/information/press/press-2006/0329-6383
http://nexi.go.jp/topics/newsrelease/001428.html",,,,,,,
96, NEXI,Vietnam,Hai Phong II,Unit 1-2,coal,600,,SUB,,,,,25,,,,25,"March 29, 2007",http://www.marubeni.co.jp/dbps_data/news/2010/100602.html,,,,,,,
97,JICA,Vietnam,Nghi Son 1,,coal,600,construction,,,"Marubeni, Fuji Electric",,1027.17,,,,,1027.17,"June 2, 2010",https://www.jica.go.jp/press/archives/jbic/autocontents/japanese/news/2007/000069/index.html,EPC,,,,,,
97,JICA,Vietnam,Nghi Son I,Unit 1-3,coal,600,,SC,,,,772,,,,,772,"March 30, 2007","http://www.marubeni.co.jp/news/2013/release/00022.html
http://www.sourcewatch.org/index.php/Nghi_Son_2_power_station",,,,,,,
98,,Vietnam,Nghi Son 2,,coal,"1,200",construction,SC,,Marubeni,,,,,,,0,"March 25, 2013",https://www.jica.go.jp/press/archives/jbic/autocontents/japanese/news/2005/000037/index.html,Negotiation,,,,,,
99,JICA,Vietnam,Ninh Binh II,Unit 1-2,coal,300,,SUB,,,,315,,,,,315,"March 31, 2005",https://www.mhi.co.jp/news/story/1210305273.html,,,,,,,
100,JICA,Vietnam,Omon,,coal,,,,,"Sojitz, MHI",,,,,,,0,"October 30, 2012","http://www.marubeni.co.jp/news/2014/release/TB1Jpn.pdf
http://www.sourcewatch.org/index.php/Thai_Binh_Power_Center","EPC/Boiler, Turbine",,,,,,
101,,Vietnam,Thai Binh 1,,coal,600,construction,SUB,,"Marubeni, Fuji Electric",,,,,,,0,"January 6, 2014",https://www.jica.go.jp/press/2009/20091110_01.html,"EPC/Boiler, Turbine",,,,,,
101,JICA,Vietnam,Thai Binh 1,,coal,600,,SC,,,,1246,,,,,1246,"November 10, 2009","http://www.sojitz.com/jp/news/2012/05/20120523.php
http://www.sourcewatch.org/index.php/Thai_Binh_2_Thermal_Power_Plant",,,,,,,
102,JBIC,Vietnam,Thai Binh 2,,coal,"1,200",construction,SC,,"Sojitz, Toshiba",,827.178,,,,,827.178,"May 23, 2012","https://www.jbic.go.jp/ja/information/press/press-2013/0822-6369
http://nexi.go.jp/topics/newsrelease/004901.html",EPS,,,,,,
102,JBIC,Vietnam,Thai Binh 2,Unit 1-3,coal,1200,,SC,,,,85,,,,,85,"August 22, 2013","https://www.jbic.go.jp/ja/information/press/press-2013/0822-6369
http://nexi.go.jp/topics/newsrelease/004901.html",,,,,,,
102,NEXI,Vietnam,Thai Binh 2,Unit 1-3,coal,"1,200",,SC,,,,,56,,,,56,"August 22, 2013",http://www.sumitomocorp.co.jp/news/detail/id=26165,,,,,,,
103,,Vietnam,Van Phong,,coal,"1,320",operating,SC,,Sumitomo Corp,,2140,,,,,2140,"November 24, 2009",http://www.jbic.go.jp/en/information/press/press-2015/0316-47130,Planning,,,,,,
104,NEXI,Vietnam,Vinh Tan 4 ,Unit 3,coal,600,,SC,,,,,,,,,0,,http://www.jbic.go.jp/en/information/press/press-2015/0316-47130,,,,,,,
104,JBIC,Vietnam,Vinh Tan 4 ,Unit 3,coal,600,,SC,,,,,,,,,0,,"http://www.sojitz.com/jp/news/2009/07/20090731-1.php
http://www.sourcewatch.org/index.php/Vung_Ang_power_station",,,,,,,
105,JBIC,Vietnam,Vung Ang 1,,coal,"1,200",Operating,SUB,,"Sojitz, Toshiba",,117.7,,,,,117.7,"July 31, 2009",https://www.jbic.go.jp/ja/information/press/press-2011/0812-6370,"Turbine, Generator",,,,,,
105,JBIC,Vietnam,Vung Ang 1,Unit 1-2,coal,"1,200",,SUB,,,,58,,,,,58,"August 12, 2011",,,,,,,,
