No,Project Name,Domestic or foriegn financier,Financier's countries,Financier's name,Investing Amount/ Share (mio USD),Reference
11,Mông Dương I,domestic,Vietnam,Viettinbank,56,
12,Mông Dương II,foreign,Multilateral,ADB,930.71,
12,Mông Dương II,foreign,China,Eximbank,510,"Talk Vietnam
 http://oda.mpi.gov.vn/tabid/223/articletype/ArticleView/articleId/247/default.aspx"
13,Na Dương I,,,,,http://nangluongvietnam.vn
14,Nghi Sơn I,foreign,Japan,Citibank Japan,1020,
15,Ninh Bình,,,,,
16,Nông Sơn,,,,,https://www.vietnambreakingnews.com/2009/10/vietnam-top-miner-to-continue-to-be-investor-of-2-coal-fired-power-projects/
17,Phả Lại I,,,,,
18,Phả Lại II,foreign,Japan,JICA,324.47,"http://www.lilama10.com/cong-trinh-du-an/cong-trinh-da-hoan-thanh/mot-so-hinh-anh-ve-nha-may-nhiet-dien-pha-lai-ii.html
 http://vietstock.vn/PrintView.aspx?ArticleID=82151"
19,Quảng Ninh I,foreign,China,ICBC,415.24,http://www.tienphong.vn/Kinh-Te/khoi-cong-xay-dung-nha-may-nhiet-dien-quang-ninh-42704.tpo http://vietstock.vn/PrintView.aspx?ArticleID=23268
20,Quảng Ninh II,,,,,http://vietbao.vn/Kinh-te/Khoi-cong-Nha-may-nhiet-dien-Quang-Ninh-II/65093438/87/
21,Sơn Động,,,,,"http://evnhanoi.vn/content/4206-Thang-72005-khoi-cong-nha-may-nhiet-dien-Son-Dong.aspx
 http://thaibinhduong.vn/?show=viewtt&ic=2&list=5_119&id=938&dis=1"
22,Uông Bí,,,,,
23,Uông Bí Mở rộng #1,,,,,http://icon.com.vn/vn-s83-91512-638/Nha-may-nhiet-dien-Uong-Bi-mo-rong-giai-doan-I-da-hoa-luoi-dien-quoc-gia.aspx http://www.industcards.com/st-coal-vietnam.htm http://www.cpbjlf.com/Vietnews/elect1.htm
24,Uông Bí Mở rộng #2,foreign,China,ICBC,178.5,"http://www.evnhanoi.com.vn/content/4146-Dau-tu-du-an-Nha-may-nhiet-dien-Uong-Bi-mo-rong-2.aspx
 http://icon.com.vn/vn-s83-89605-640/Viet-Nam-va-Trung-Quoc-ky-Hiep-dinh-vay-xay-dung-nha-may-Nhiet-dien-Uong-Bi-2.aspx"
25,Vĩnh Tân II,foreign,China,ICBC,300,"http://www.genco3.com/d4/news/Cong-ty-Nhiet-dien-Vinh-Tan-2-296.aspx
 http://pecc2.com/userfiles/file/Le%20dong%20tho%20VT2.pdf
 http://vef.vn/2011/01/07/2011-01-07-vi-dang-khi-le-thuoc-von-vay-trung-quoc/"
26,Vũng Áng I,domestic,Vietnam,Agribank,94.71,
26,Vũng Áng I,domestic,Vietnam,Vietcombank,260.66,
26,Vũng Áng I,domestic,Vietnam,BIDV,355,
26,Vũng Áng I,foreign,Singapore,OCBC,180.8,
26,Vũng Áng I,foreign,England,Standard Chartered Bank,180.8,
26,Vũng Áng I,foreign,Switzerland,Credit Suisse,180.8,
26,Vũng Áng I,foreign,Italy,Intesa Sanpaolo,20.9,
26,Vũng Áng I,foreign,France,BNP Paribas,180.8,
26,Vũng Áng I,foreign,Japan,JICA,58.6,
26,Vũng Áng I,foreign,China,Bank of China,180.8,
27,Công Thanh,,,,,http://yendinh.thanhhoa.gov.vn/ArticleDetail/190/420/Khoi-cong-nha-may-Nhiet-dien-Cong-Thanh.html
28,Duyên Hải III,foreign,China,China Construction Bank (CCB),408.33,
28,Duyên Hải III,foreign,China,Bank of China,408.33,
28,Duyên Hải III,foreign,Japan,JBIC,408.33,
28,Duyên Hải III,domestic,Vietnam,BIDV,275,
28,Duyên Hải III,domestic,Vietnam,Vietcombank,275,
