No.,Project Name,Unit,Sources,Financier's countries,Financier's name,Total Investing Amount,Loan,Underwriting,Bond Insurance,Shareholdings,Unidentified investment types,Information disclosed date,Reference,Remarks
14,Pha Lai II,,foreign,Japan,Japan International Cooperation Agency,324.47,,,,,324.47,,"http://www.lilama10.com/cong-trinh-du-an/cong-trinh-da-hoan-thanh/mot-so-hinh-anh-ve-nha-may-nhiet-dien-pha-lai-ii.html
 http://vietstock.vn/PrintView.aspx?ArticleID=82151",
15,Quang Ninh I,,foreign,China,Industrial and Commercial Bank of China,415.24,,,,,415.24,,http://www.tienphong.vn/Kinh-Te/khoi-cong-xay-dung-nha-may-nhiet-dien-quang-ninh-42704.tpo http://vietstock.vn/PrintView.aspx?ArticleID=23268,
16,Thai Binh I,,foreign,Japan,Citibank Japan,1079.5,,,,,1079.5,,http://thanglongtce.vn/en/the-commencement-of-127-billions-thai-binh-thermal-power-plant/,
17,Thai Binh II,,foreign,China,Bank of China,27.89,,,,,27.89,,,
17,Thai Binh II,,foreign,China,Eximbank,330,,,,,330,,,
17,Thai Binh II,,foreign,England,HSBC,27.89,,,,,27.89,,,
17,Thai Binh II,,foreign,France,BNP Paribas,46.56,,,,,46.56,,,
17,Thai Binh II,,foreign,Japan,Societe Generale (Tokyo Branch),46.56,,,,,46.56,,,
17,Thai Binh II,,foreign,Japan,Mizuho Corporate Bank,46.56,,,,,46.56,,,
17,Thai Binh II,,foreign,Japan,Japan International Cooperation Agency,85,,,,,85,,,
17,Thai Binh II,,foreign,Singapore,OCBC,27.89,,,,,27.89,,,
17,Thai Binh II,,domestic,Vietnam,Agribank,22.12,,,,,22.12,,,
17,Thai Binh II,,domestic,Vietnam,VN Eximbank,270,,,,,270,,,
17,Thai Binh II,,domestic,Vietnam,Bank for Investment and Development of Vietnam,292,,,,,292,,,
18,Uong Bi Mo rong,Unit 2,foreign,China,Industrial and Commercial Bank of China,178.5,,,,,178.5,,"http://www.evnhanoi.com.vn/content/4146-Dau-tu-du-an-Nha-may-nhiet-dien-Uong-Bi-mo-rong-2.aspx
 http://icon.com.vn/vn-s83-89605-640/Viet-Nam-va-Trung-Quoc-ky-Hiep-dinh-vay-xay-dung-nha-may-Nhiet-dien-Uong-Bi-2.aspx",
19,Vinh Tan I,,foreign,China,Industrial and Commercial Bank of China,280,,,,,280,,,
19,Vinh Tan I,,foreign,China,China Construction Bank (CCB),280,,,,,280,,,
19,Vinh Tan I,,foreign,China,China Bank of Communication,280,,,,,280,,,
19,Vinh Tan I,,foreign,China,Bank of China,280,,,,,280,,,
19,Vinh Tan I,,foreign,Japan,Japan Bank for International Cooperation,280,,,,,280,,,
20,Vinh Tan II,,foreign,China,Industrial and Commercial Bank of China,300,,,,,300,,"http://www.genco3.com/d4/news/Cong-ty-Nhiet-dien-Vinh-Tan-2-296.aspx
 http://pecc2.com/userfiles/file/Le%20dong%20tho%20VT2.pdf
 http://vef.vn/2011/01/07/2011-01-07-vi-dang-khi-le-thuoc-von-vay-trung-quoc/",
21,Vinh Tan IV,,foreign,China,Eximbank,300,,,,,300,,,
21,Vinh Tan IV,,foreign,France,BNP Paribas,135.3,,,,,135.3,,,
21,Vinh Tan IV,,foreign,Japan,Japan International Cooperation Agency,202.9,,,,,202.9,,,
21,Vinh Tan IV,,foreign,south Korea,Korea Export-Import Bank,455,,,,,455,,,
21,Vinh Tan IV,,domestic,vietnam,Bank for Investment and Development of Vietnam,284,,,,,284,,,
21,Vinh Tan IV,,domestic,vietnam,Vietnam Development Bank,284.35,,,,,284.35,,,
22,Vung Ang I,,foreign,China,Bank of China,180.8,,,,,180.8,,,
22,Vung Ang I,,foreign,England,Standard Chartered Bank,180.8,,,,,180.8,,,
22,Vung Ang I,,foreign,France,BNP Paribas,180.8,,,,,180.8,,,
22,Vung Ang I,,foreign,Italy,Intesa Sanpaolo,20.9,,,,,20.9,,,
22,Vung Ang I,,foreign,Japan,Japan International Cooperation Agency,58.6,,,,,58.6,,,
22,Vung Ang I,,foreign,Singapore,OCBC,180.8,,,,,180.8,,,
22,Vung Ang I,,foreign,Switzerland,Credit Suisse,180.8,,,,,180.8,,,
22,Vung Ang I,,domestic,Vietnam,Agribank,94.71,,,,,94.71,,,
22,Vung Ang I,,domestic,Vietnam,Vietcombank,260.66,,,,,260.66,,,
22,Vung Ang I,,domestic,Vietnam,Bank for Investment and Development of Vietnam,355,,,,,355,,,
