No,Project Name,Financed by domestic or foriegn financiers,Financier's countries,Financier's name,Financier's parent company,Investing Amount/ Share,Reference
151,Hirono power station,domestic,Japan,Tokyo Electric Power Co,TEPCO,,http://bit.ly/1uKafWP
152,Hirono Thermal Power Station,domestic,Japan,Tokyo Electric Power Company,TEPCO,,http://bit.ly/1uKafWP
153,Iwaki power station,domestic,Japan,ABL Co. Ltd.,ABL Co. Ltd.,,http://bit.ly/1Dt33p6
154,Kamaishi Works power station,domestic,Japan,Nippon Steel & Sumitomo Metal,Nippon Steel & Sumitomo Metal,,http://bit.ly/1IEFQl0
155,Kansai Sendai power station,domestic,Japan,Kansai Electric Power Co,Kansai Electric Power,,http://bit.ly/1tdQnfh
156,M.Setek Soma power station,domestic,Japan,Orix Corporation,Orix Corporation,,http://bit.ly/1OtJOQ5
157,Maeda co-fired power station,domestic,Japan,Maeda Corporation,Maeda Corporation,,http://bit.ly/1CAQHqc
158,Nakoso power station,domestic,Japan,TEPCO,TEPCO,,http://bit.ly/1wE3VBf
159,Nakoso power station,domestic,Japan,Nakoso IGCC Power GK,"Mitsubishi Corporation (90%), TEPCO (5%), Joban Joint Power (5%)",,http://bit.ly/1wE3VBf
160,Nakoso power station,domestic,Japan,Joban Kyodo Power Co,"TEPCO, Tohoku Electric Power",,http://bit.ly/1wE3VBf
161,Nakoso power station,domestic,Japan,Joban Kyodo Power Co,"TEPCO, Tohoku Electric Power",,http://bit.ly/1wE3VBf
162,Nakoso power station,domestic,Japan,Joban Kyodo Power Co,"TEPCO, Tohoku Electric Power",,http://bit.ly/1wE3VBf
163,Nippon Paper Ishinomaki power station,domestic,Japan,Nippon Paper ,Nippon Paper ,,http://bit.ly/VHmvvH
164,Noshiro power station,domestic,Japan,Tohoku Electric Power Co,Tohoku Electric Power,,http://bit.ly/1N1Kj5m
165,Noshiro power station,domestic,Japan,Tohoku Electric Power Co,Tohoku Electric Power,,http://bit.ly/1N1Kj5m
166,Orix Soma power station,domestic,Japan,Orix Corporation,Orix Corporation,,http://bit.ly/1JqeC4Y
167,Sakata Kyodo power station,domestic,Japan,Sakata Kyodo Electric Power Co,Tohoku Electric Power,,http://bit.ly/1IEGoY4
168,Sakata Kyodo power station,domestic,Japan,Sakata Kyodo Electric Power Co,Tohoku Electric Power,,http://bit.ly/1IEGoY4
169,Shinchi power station,domestic,Japan,TEPCO,TEPCO,,http://bit.ly/1dhbcTE
170,Shinchi power station,domestic,Japan,TEPCO,TEPCO,,http://bit.ly/1dhbcTE
171,Soma Core power station,domestic,Japan,Soma Kyodo Jikahatsu Kaihatsu godo kaisha,Soma Kyodo Jikahatsu Kaihatsu godo kaisha,,http://bit.ly/1z3pcoL
172,Soma Kyodo power station,domestic,Japan,Soma Kyodo Power,"TEPCO, Tohoku Electric Power, Chubu Electric Power",,http://bit.ly/1Dt4HqM
173,Tonda power station,domestic,Japan,Toyo Soda Manufacturing Co Ltd,Toyo Soda Manufacturing ,,http://bit.ly/1O3pRMB
174,Hikari Works power station,domestic,Japan,Nippon Steel & Sumitomo Metal,Nippon Steel & Sumitomo Metal,,http://bit.ly/23Xgc6c
